Age;Survived
30;0
28;1
18;0
34;0
32;1
57;0
18;0
23;0
36;1
28;0
51;0
32;1
19;1
28;0
36;1
4;1
1;1
12;1
34;1
19;1
23;0
26;0
27;0
15;1
45;0
40;1
20;1
25;0
36;1
25;0
42;1
26;1
26;1
31;1
19;0
54;0
44;0
52;0
30;0
30;0
29;0
29;0
27;0
24;1
35;0
31;1
8;1
22;0
30;0
20;0
21;0
49;1
8;1
28;1
18;0
28;0
22;1
25;0
18;0
32;1
18;1
42;0
34;1
8;1
23;0
21;0
19;0
38;0
38;0
35;0
35;0
38;0
24;1
16;0
26;0
45;0
24;0
21;0
22;0
34;0
30;0
50;0
30;0
23;1
1;1
44;0
28;0
6;1
30;1
43;0
45;1
7;1
24;1
24;1
49;0
48;1
34;0
32;0
21;0
18;0
53;1
23;0
21;1
52;0
42;0
36;1
21;0
41;1
33;0
17;1
23;1
34;0
22;0
45;1
31;0
30;0
26;0
34;1
26;0
22;1
1;1
3;1
25;0
48;0
57;0
2;1
27;0
19;1
30;0
20;0
45;0
46;0
41;1
13;1
19;1
30;0
48;0
71;0
54;0
64;0
32;0
18;1
2;1
32;0
3;1
26;0
19;0
20;1
29;1
39;0
22;1
24;0
28;0
50;1
20;0
40;0
42;1
21;0
32;1
34;0
33;1
2;1
8;1
36;0
34;0
30;1
28;1
23;0
25;1
3;1
50;1
21;1
25;1
18;1
20;1
30;1
59;0
30;1
35;0
22;0
25;0
41;0
25;0
14;0
50;1
22;0
27;1
29;0
27;0
30;0
22;0
35;1
30;0
28;1
23;0
12;1
40;1
36;1
28;0
32;1
29;1
4;1
2;1
36;0
33;1
32;1
26;1
30;0
24;1
18;0
